ISSN (Online)	ISSN (Print)	JournalTitle	JrId	MedAbbr	NlmId
	 0093-1748	 The Journal of legal medicine	 4910	 J Leg Med (N Y)	 0367344
 1521-057X	 0194-7648	 The Journal of legal medicine	 4911	 J Leg Med	 8000151
 1938-3673	 0741-5400	 Journal of leukocyte biology	 4912	 J Leukoc Biol	 8405628
	 0093-4445	 The Journal of long term care administration	 4913	 J Long Term Care Adm	 0415026
 1539-7262	 0022-2275	 Journal of lipid research	 4914	 J Lipid Res	 0376606
	 0147-6726	 Journal for Medicaid management	 4915	 J Medicaid Manage	 7800045
	 0744-9682	 Journal Of The Macomb Dental Society	 4916	 J Macomb Dent Soc	 9878331
	 0025-0694	 The Journal of the Maine Medical Association	 4917	 J Maine Med Assoc	 7505619
 1545-1542	 0022-2372	 Journal of mammalogy	 4918	 J Mammal	 2985081R
	 0025-4800	 Journal of the Massachusetts Dental Society	 4919	 J Mass Dent Soc	 7503082
 1532-6586	 0161-4754	 Journal of manipulative and physiological therapeutics	 4920	 J Manipulative Physiol Ther	 7807107
	 0022-2534	 Journal of maxillofacial orthopedics	 4921	 J Maxillofac Orthop	 7511218
	 0301-0503	 Journal of maxillofacial surgery	 4922	 J Maxillofac Surg	 0370036
	 0025-4355	 Journal of the Maryland State Dental Association	 4923	 J Md State Dent Assoc	 7503081
	 0091-6552	 Journal of mechanochemistry & cell motility	 4924	 J Mechanochem Cell Motil	 0372277
	 0021-7573	 Jornal do medico	 4925	 J Med (Oporto)	 0374753
	 0025-7850	 Journal of medicine	 4926	 J Med	 7505566
 2214-8116	 0398-0499	 Journal des maladies vasculaires	 4927	 J Mal Vasc	 7707965
 1432-1416	 0303-6812	 Journal of mathematical biology	 4928	 J Math Biol	 7502105
	 0025-7028	 Journal of the Medical Association of Georgia	 4929	 J Med Assoc Ga	 7505620
 1744-5019	 0360-5310	 The Journal of medicine and philosophy	 4930	 J Med Philos	 7610512
	 0025-7044	 Journal of the Medical Association of the State of Alabama	 4931	 J Med Assoc State Ala	 7503083
 1573-689X	 0148-5598	 Journal of medical systems	 4932	 J Med Syst	 7806056
	 0125-2208	 Journal of the Medical Association of Thailand = Chotmaihet thangphaet	 4933	 J Med Assoc Thai	 7507216
	 0092-8623	 Journal of mental health administration	 4934	 J Ment Health Adm	 0351035
	 0271-6801	 Journal of molecular and applied genetics	 4935	 J Mol Appl Genet	 8109497
 2053-7395	 0022-2917	 Journal of music therapy	 4936	 J Music Ther	 0014162
	 0368-3001	 Journal de medecine de Bordeaux et du Sud-Ouest	 4937	 J Med Bord	 0161067
 1520-4804	 0022-2623	 Journal of medicinal chemistry	 4938	 J Med Chem	 9716531
	 0022-2577	 Journal of medical education	 4939	 J Med Educ	 0375377
 1464-522X	 0309-1902	 Journal of medical engineering & technology	 4940	 J Med Eng Technol	 7702125
	 0887-2082	 Journal of biochemical toxicology	 4941	 J Biochem Toxicol	 8700114
 1938-2928	 0022-2585	 Journal of medical entomology	 4942	 J Med Entomol	 0375400
	 0146-6631	 Journal of medical entomology. Supplement	 4943	 J Med Entomol Suppl	 7902862
 1473-4257	 0306-6800	 Journal of medical ethics	 4944	 J Med Ethics	 7513619
 1468-6244	 0022-2593	 Journal of medical genetics	 4945	 J Med Genet	 2985087R
	 0368-3109	 The Journal of medical laboratory technology	 4946	 J Med Lab Technol	 1263574
	 0023-9852	 Le Journal medical libanais. The Lebanese medical journal	 4947	 J Med Liban	 0375352
	 0021-7883	 Journal de medecine de Lyon	 4948	 J Med Lyon	 2985084R
 1473-5644	 0022-2615	 Journal of medical microbiology	 4949	 J Med Microbiol	 0224131
	 0141-2760	 Journal of clinical & laboratory immunology	 4950	 J Clin Lab Immunol	 7808987
 1600-0684	 0047-2565	 Journal of medical primatology	 4951	 J Med Primatol	 0320626
	 0025-7524	 The Journal of the Medical Society of New Jersey	 4952	 J Med Soc N J	 7503084
 0974-9098	 0301-5742	 The Journal of Indian Orthodontic Society	 4953	 J Indian Orthod Soc	 7503130
 1432-1424	 0022-2631	 The Journal of membrane biology	 4954	 J Membr Biol	 0211301
	 0022-264X	 Journal of mental deficiency research	 4955	 J Ment Defic Res	 0375401
	 0025-9861	 Journal. Mercer Dental Society, Trenton	 4957	 J Mercer Dent Soc	 18640710R
	 0026-2102	 The Journal of the Michigan Dental Association	 4958	 J Mich Dent Assoc	 7505621
	 0098-7107	 The Journal of the Michigan State Dental Association	 4959	 J Mich State Dent Assoc	 7503085
 1573-3521	 0160-7715	 Journal of behavioral medicine	 4960	 J Behav Med	 7807105
 1365-2818	 0022-2720	 Journal of microscopy	 4961	 J Microsc	 0204522
	 0022-2739	 The Journal of microwave power	 4962	 J Microw Power	 0332155
	 0047-7532	 Journal - Mississippi Dental Association	 4963	 J Miss Dent Assoc	 7513940
	 0026-6396	 Journal of the Mississippi State Medical Association	 4964	 J Miss State Med Assoc	 7505622
	 0026-6523	 Journal of the Missouri Dental Association	 4965	 J Mo Dent Assoc	 7503087
	 0273-3463	 Journal of the Missouri Dental Association	 4966	 J Mo Dent Assoc (1980)	 8010650
 1089-8638	 0022-2836	 Journal of molecular biology	 4967	 J Mol Biol	 2985088R
 1095-8584	 0022-2828	 Journal of molecular and cellular cardiology	 4968	 J Mol Cell Cardiol	 0262322
 1432-1432	 0022-2844	 Journal of molecular evolution	 4969	 J Mol Evol	 0360051
	 0744-7132	 Journal of ophthalmic nursing & technology	 4970	 J Ophthalmic Nurs Technol	 8219658
 1097-4687	 0362-2525	 Journal of morphology	 4971	 J Morphol	 0406125
	 0196-4933	 Journal (National Association for Hospital Development (U.S.))	 4972	 J Natl Assoc Hosp Dev	 7511919
	 0099-9695	 Journal of the Mount Sinai Hospital, New York	 4973	 J Mt Sinai Hosp N Y	 0242260
	 0047-2794	 Journal of social policy	 4974	 J Soc Policy	 7806597
	 0275-3723	 Journal of supramolecular structure and cellular biochemistry	 4975	 J Supramol Struct Cell Biochem	 8106911
 1557-9042	 0897-7151	 Journal of neurotrauma	 4976	 J Neurotrauma	 8811626
		 Journal. National Analgesia Society	 4977	 J Natl Analg Soc	 0330010
	 0111-1485	 Journal of the New Zealand Society of Periodontology	 4978	 J N Z Soc Periodontol	 7809869
 1521-0715	 0092-623X	 Journal of sex & marital therapy	 4979	 J Sex Marital Ther	 7502387
		 Journal Of The National Association Of Seventh-Day Adventist Dentists	 4980	 J Natl Assoc Seventh Day Advent Dent	 9883819
	 0022-393X	 Journal of psychedelic drugs	 4981	 J Psychedelic Drugs	 0203241
 1460-2105	 0027-8874	 Journal of the National Cancer Institute	 4982	 J Natl Cancer Inst	 7503089
	 0162-7155	 The Journal of nursing care	 4983	 J Nurs Care	 7806870
 1943-4693	 0027-9684	 Journal of the National Medical Association	 4984	 J Natl Med Assoc	 7503090
	 0169-5088	 Journal of neuroimmunology. Supplement	 4985	 J Neuroimmunol Suppl	 8219171
	 0029-2443	 The Journal of the North Carolina Dental Society	 4986	 J N C Dent Soc	 7505625
 1520-6025	 0163-3864	 Journal of natural products	 4987	 J Nat Prod	 7906882
	 0028-1832	 The Journal of the Nebraska Dental Association	 4988	 J Nebr Dent Assoc	 7503091
	 0027-8629	 Journal - National Association of Private Psychiatric Hospitals	 4989	 J Natl Assoc Priv Psychiatr Hosp	 7503039
	 0738-2928	 Journal of hospital supply, processing, and distribution	 4990	 J Hosp Supply Process Distrib	 8507483
	 0897-2869	 Journal of advanced medical-surgical nursing	 4991	 J Adv Med Surg Nurs	 8901657
	 0022-2712	 The Journal of micrographics	 4992	 J Microgr	 0240227
 1539-736X	 0022-3018	 The Journal of nervous and mental disease	 4993	 J Nerv Ment Dis	 0375402
	 0393-5388	 Journal Of The American Dental Association (Edizione Italiana)	 4994	 J Am Dent Assoc (Ed Ital)	 9881715
		 Journal of neural transmission	 4995	 J Neural Transm	 0337042
	 0303-6995	 Journal of neural transmission. Supplementum	 4996	 J Neural Transm Suppl	 0425126
	 0021-8707	 The Journal of allergy	 4997	 J Allergy	 1305603
 1097-4695	 0022-3034	 Journal of neurobiology	 4998	 J Neurobiol	 0213640
	 0886-9723	 Journal of ambulatory care marketing	 4999	 J Ambul Care Mark	 8710130
 1943-6270	 8756-971X	 Journal of the American Mosquito Control Association	 5000	 J Am Mosq Control Assoc	 8511299
	 0195-2307	 The Journal of the American Paraplegia Society	 5001	 J Am Paraplegia Soc	 8303486
 1873-3344	 0162-0134	 Journal of inorganic biochemistry	 5002	 J Inorg Biochem	 7905788
	 0885-6028	 Journal of National Black Nurses' Association : JNBNA	 5003	 J Natl Black Nurses Assoc	 8703519
 1471-4159	 0022-3042	 Journal of neurochemistry	 5004	 J Neurochem	 2985190R
 1532-8406	 0883-5403	 The Journal of arthroplasty	 5005	 J Arthroplasty	 8703515
 1573-7381	 0300-4864	 Journal of neurocytology	 5006	 J Neurocytol	 0364620
	 0361-0489	 Kroc Foundation series	 5007	 Kroc Found Ser	 7611160
 1432-1459	 0340-5354	 Journal of neurology	 5008	 J Neurol	 0423161
 1468-330X	 0022-3050	 Journal of neurology, neurosurgery, and psychiatry	 5009	 J Neurol Neurosurg Psychiatry	 2985191R
 1878-5883	 0022-510X	 Journal of the neurological sciences	 5010	 J Neurol Sci	 0375403
	 0732-6580	 Journal of biological response modifiers	 5011	 J Biol Response Mod	 8219656
 1554-6578	 0022-3069	 Journal of neuropathology and experimental neurology	 5012	 J Neuropathol Exp Neurol	 2985192R
 1522-1598	 0022-3077	 Journal of neurophysiology	 5013	 J Neurophysiol	 0375404
	 0894-0630	 JAPCA	 5014	 JAPCA	 8802680
 1573-4951	 0920-654X	 Journal of computer-aided molecular design	 5015	 J Comput Aided Mol Des	 8710425
	 0736-4407	 The Journal of clinical dysmorphology	 5016	 J Clin Dysmorphol	 8400758
 1878-5921	 0895-4356	 Journal of clinical epidemiology	 5017	 J Clin Epidemiol	 8801383
		 Journal of the Catholic Nurses Guild of England and Wales	 5018	 J Cathol Nurses Guild Engl Wales	 9880621
 1532-7655	 0737-0016	 Journal of community health nursing	 5019	 J Community Health Nurs	 8411341
	 0748-450X	 Journal of clinical hypertension	 5020	 J Clin Hypertens	 8510461
	 0748-1977	 Journal of clinical monitoring	 5021	 J Clin Monit	 8506707
 1550-5049	 0889-4655	 The Journal of cardiovascular nursing	 5022	 J Cardiovasc Nurs	 8703516
 1527-7755	 0732-183X	 Journal of clinical oncology : official journal of the American Society of Clinical Oncology	 5023	 J Clin Oncol	 8309333
 1573-7373	 0167-594X	 Journal of neuro-oncology	 5024	 J Neurooncol	 8309335
	 1044-4017	 Joint Commission perspectives. Joint Commission on Accreditation of Healthcare Organizations	 5025	 Jt Comm Perspect	 8812163
 1973-9478	 1120-009X	 Journal of chemotherapy (Florence, Italy)	 5026	 J Chemother	 8907348
	 0150-9861	 Journal of neuroradiology = Journal de neuroradiologie	 5027	 J Neuroradiol	 7705086
 1933-0693	 0022-3085	 Journal of neurosurgery	 5028	 J Neurosurg	 0253357
	 0047-2603	 Journal of neurosurgical nursing	 5029	 J Neurosurg Nurs	 1300146
 1827-1855	 0390-5616	 Journal of neurosurgical sciences	 5030	 J Neurosurg Sci	 0432557
	 0331-8699	 Journal Of The Nigeria Association Of Dental Students	 5031	 J Niger Assoc Dent Stud	 9878250
	 0741-8620	 Journal of dental practice administration : JDPA : official publication of American Academy of Dental Practice Administration, Organization of Teachers of Dental Practice Administration, American Academy of Dental Group Practice	 5032	 J Dent Pract Adm	 8410046
	 0022-3026	 Journal of neuro-visceral relations	 5033	 J Neurovisc Relat	 0337043
 1942-4396	 1043-2256	 Journal of the California Dental Association	 5034	 J Calif Dent Assoc	 8905668
 1529-2401	 0270-6474	 The Journal of neuroscience : the official journal of the Society for Neuroscience	 5035	 J Neurosci	 8102140
 1553-0205	 1043-254X	 Journal of dental hygiene : JDH	 5036	 J Dent Hyg	 8902616
 1998-3905	 0970-4388	 Journal of the Indian Society of Pedodontics and Preventive Dentistry	 5037	 J Indian Soc Pedod Prev Dent	 8710631
	 0096-0284	 The Journal of new drugs	 5038	 J New Drugs	 0101352
	 1044-4114	 Journal (New Hampshire Dental Society)	 5039	 J N H Dent Soc	 8901297
	 0029-0432	 The Journal of Nihon University School of Dentistry	 5040	 J Nihon Univ Sch Dent	 7509209
	 0093-7347	 Journal of the New Jersey Dental Association	 5041	 J N J Dent Assoc	 0420021
	 0028-5641	 Journal Of The New Jersey Dental Hygienists Association	 5042	 J N J Dent Hyg Assoc	 9875595
	 0028-596X	 The Journal of the New Jersey State Dental Society	 5043	 J N J State Dent Soc	 0420022
	 0449-2846	 The Journal of nuclear biology and medicine	 5044	 J Nucl Biol Med	 0103164
 1535-5667	 0161-5505	 Journal of nuclear medicine : official publication, Society of Nuclear Medicine	 5045	 J Nucl Med	 0217410
	 0392-0208	 The Journal of nuclear medicine and allied sciences	 5046	 J Nucl Med Allied Sci	 7708412
	 8755-5093	 Journal of enzyme inhibition	 5047	 J Enzyme Inhib	 8709734
	 0882-0627	 Journal of nursing staff development : JNSD	 5048	 J Nurs Staff Dev	 8601288
	 0047-262X	 Hu li za zhi The journal of nursing	 5049	 Hu Li Za Zhi	 0073267
 1539-0721	 0002-0443	 The Journal of nursing administration	 5050	 J Nurs Adm	 1263116
 1938-2421	 0148-4834	 The Journal of nursing education	 5052	 J Nurs Educ	 7705432
 1553-0817	 0741-0581	 Journal of electron microscopy technique	 5053	 J Electron Microsc Tech	 8502171
		 Journal Of Nursing Ethics	 5054	 J Nurs Ethics	 9875515
	 0091-2182	 Journal of nurse-midwifery	 5055	 J Nurse Midwifery	 0365647
	 0888-5796	 Journal of nursing history : a publication of the Nursing Archives Associates at Boston University	 5056	 J Nurs Hist	 8605835
 1541-6100	 0022-3166	 The Journal of nutrition	 5057	 J Nutr	 0404243
	 0730-8485	 Journal of experimental pathology	 5058	 J Exp Pathol	 8400623
 1881-7742	 0301-4800	 Journal of nutritional science and vitaminology	 5059	 J Nutr Sci Vitaminol (Tokyo)	 0402640
	 0028-7644	 The Journal of the New York State Nurses' Association	 5060	 J N Y State Nurses Assoc	 7507218
 1476-5543	 0743-8346	 Journal of perinatology : official journal of the California Perinatal Association	 5061	 J Perinatol	 8501884
	 0036-1755	 Journal of the New York State School Nurse-Teachers Association	 5062	 J N Y State Sch Nurse Teach Assoc	 7609158
	 0096-1736	 Journal of occupational medicine. : official publication of the Industrial Medical Association	 5063	 J Occup Med	 7502807
	 0022-3204	 The Journal of obstetrics and gynaecology of the British Commonwealth	 5064	 J Obstet Gynaecol Br Commonw	 7512801
 1552-6909	 0884-2175	 Journal of obstetric, gynecologic, and neonatal nursing : JOGNN	 5065	 J Obstet Gynecol Neonatal Nurs	 8503123
 1525-1497	 0884-8734	 Journal of general internal medicine	 5066	 J Gen Intern Med	 8605834
	 0891-8171	 The Journal of gnathology	 5067	 J Gnathol	 8508120
	 0030-1868	 Journal - Oklahoma State Dental Association	 5068	 J Okla State Dent Assoc	 7503042
 2375-1169	 0740-3232	 Journal of the Optical Society of America. A, Optics and image science	 5069	 J Opt Soc Am A	 8402086
	 0164-9442	 Journal - Oklahoma Dental Association	 5070	 J Okla Dent Assoc	 7905263
	 0030-1876	 The Journal of the Oklahoma State Medical Association	 5071	 J Okla State Med Assoc	 7503043
 1531-2291	 0890-5339	 Journal of orthopaedic trauma	 5072	 J Orthop Trauma	 8807705
	 0951-2578	 Journal (Institute of Sterile Services Management)	 5073	 J Inst Sterile Serv Manage	 8915209
	 0748-075X	 Journal of health care technology	 5074	 J Health Care Technol	 8504411
 1879-1646	 0167-6296	 Journal of health economics	 5075	 J Health Econ	 8410622
	 0169-5185	 Journal of hepatology. Supplement	 5076	 J Hepatol Suppl	 8505239
 1747-3667	 0952-1178	 Journal of hypertension. Supplement : official journal of the International Society of Hypertension	 5077	 J Hypertens Suppl	 8501422
	 0030-2864	 The Journal of the Ontario Dental Association	 5078	 J Ont Dent Assoc	 7503096
	 0276-6353	 The Journal of the Operating Room Research Institute : JORRI	 5079	 J Oper Room Res Inst	 8204894
	 0883-7570	 Journal of hospital marketing	 5080	 J Hosp Mark	 8708320
	 0160-5682	 The Journal of the Operational Research Society	 5081	 J Oper Res Soc	 7804132
 1554-558X	 0894-1912	 The Journal of continuing education in the health professions	 5082	 J Contin Educ Health Prof	 8805847
	 0091-7400	 Johns Hopkins medical journal. Supplement	 5083	 Johns Hopkins Med J Suppl	 0334432
	 0887-2570	 The Journal of heart transplantation	 5084	 J Heart Transplant	 8604172
 1528-6916	 0885-4726	 Journal of health care chaplaincy	 5085	 J Health Care Chaplain	 8800764
 2375-110X	 0030-3941	 Journal of the Optical Society of America	 5086	 J Opt Soc Am	 7503097
		 The Journal of oral implant and transplant surgery	 5087	 J Oral Implant Transplant Surg	 0256541
	 0019-6568	 Journal (Indiana Dental Association)	 5088	 J Indiana Dent Assoc	 8502537
	 0022-3247	 Journal of oral medicine	 5089	 J Oral Med	 0045507
 1531-5053	 0278-2391	 Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons	 5090	 J Oral Maxillofac Surg	 8206428
	 0300-9777	 Journal of oral pathology	 5091	 J Oral Pathol	 0342050
 1365-2842	 0305-182X	 Journal of oral rehabilitation	 5092	 J Oral Rehabil	 0433604
	 0022-3255	 Journal of oral surgery (American Dental Association : 1965)	 5093	 J Oral Surg	 8302454
	 0745-9963	 The Journal of information and image management : JIIM	 5094	 J Inf Image Manage	 9880303
	 0449-2889	 Journal of oral therapeutics and pharmacology	 5095	 J Oral Ther Pharmacol	 17930060R
	 0030-4670	 The Journal of the Oregon Dental Association	 5096	 J Oreg Dent Assoc	 7503098
 1554-527X	 0736-0266	 Journal of orthopaedic research : official publication of the Orthopaedic Research Society	 5097	 J Orthop Res	 8404726
 1520-6904	 0022-3263	 The Journal of organic chemistry	 5098	 J Org Chem	 2985193R
	 0475-2058	 Journal of Osaka Dental University	 5099	 J Osaka Dent Univ	 7507225
	 0030-6150	 [Shika igaku] [Dental medicine]	 5100	 Shika Igaku	 20730300R
	 0896-5846	 Journal of intravenous nursing : the official publication of the Intravenous Nurses Society	 5101	 J Intraven Nurs	 8804311
	 0473-4599	 The Journal of Osaka University Dental School	 5102	 J Osaka Univ Dent Sch	 7503132
	 0473-4629	 [Osaka Daigaku shigaku zasshi] The journal of Osaka University Dental Society	 5103	 Osaka Daigaku Shigaku Zasshi	 19430280R
	 0030-6207	 Journal of the Oslo city hospitals	 5104	 J Oslo City Hosp	 7908151
	 0095-9863	 The Journal of clinical pharmacology and the journal of new drugs	 5105	 J Clin Pharmacol J New Drugs	 1255670
		 Journal of marketing for professions	 5106	 J Mark Prof	 9878859
		 The Japanese journal of tuberculosis	 5107	 Jpn J Tuberc	 0235076
 1883-0854	 0030-6622	 Nihon Jibiinkoka Gakkai kaiho	 5108	 Nihon Jibiinkoka Gakkai Kaiho	 7505728
	 0030-6614	 Journal of the Oto-laryngological Society of Australia	 5109	 J Otolaryngol Soc Aust	 7503099
	 0267-2073	 Journal of paediatric dentistry	 5110	 J Paediatr Dent	 8508400
	 0022-3409	 Journal of pastoral care	 5111	 J Pastoral Care	 17930120R
	 0888-7063	 Journal of the Kansas Dental Association	 5112	 J Kans Dent Assoc	 8408586
 1563-5260	 0167-7063	 Journal of neurogenetics	 5113	 J Neurogenet	 8406473
 1937-2345	 0022-3395	 The Journal of parasitology	 5114	 J Parasitol	 7803124
	 0279-7976	 Journal of parenteral science and technology : a publication of the Parenteral Drug Association	 5115	 J Parenter Sci Technol	 8103145
	 0161-1933	 Journal of the Parenteral Drug Association	 5116	 J Parenter Drug Assoc	 7803538
 1536-4801	 0277-2116	 Journal of pediatric gastroenterology and nutrition	 5117	 J Pediatr Gastroenterol Nutr	 8211545
 1541-4159	 0047-2379	 Journal of drug education	 5118	 J Drug Educ	 1300031
 1465-735X	 0146-8693	 Journal of pediatric psychology	 5119	 J Pediatr Psychol	 7801773
 1098-2825	 0887-8013	 Journal of clinical laboratory analysis	 5120	 J Clin Lab Anal	 8801384
 1096-9896	 0022-3417	 The Journal of pathology	 5121	 J Pathol	 0204634
 2369-5293	 0825-8597	 Journal of palliative care	 5122	 J Palliat Care	 8610345
	 0894-8879	 Journal of law and ethics in dentistry	 5123	 J Law Ethics Dent	 8812167
 1873-2682	 1011-1344	 Journal of photochemistry and photobiology. B, Biology	 5124	 J Photochem Photobiol B	 8804966
 1555-2039	 0368-3494	 The Journal of pathology and bacteriology	 5125	 J Pathol Bacteriol	 0204750
 2159-9777	 0279-1072	 Journal of psychoactive drugs	 5126	 J Psychoactive Drugs	 8113536
 1097-6833	 0022-3476	 The Journal of pediatrics	 5127	 J Pediatr	 0375410
		 Journal / Maine Dental Association	 5129	 J Maine Dent Assoc	 9875005
	 0882-6498	 The Journal of medical humanities and bioethics	 5130	 J Med Humanit Bioeth	 8507484
	 0883-7589	 Journal of marketing for mental health	 5131	 J Mark Ment Health	 8708658
	 0268-1218	 Journal of medical and veterinary mycology : bi-monthly publication of the International Society for Human and Animal Mycology	 5132	 J Med Vet Mycol	 8605493
 2472-4041	 0832-7823	 The Journal of microwave power and electromagnetic energy : a publication of the International Microwave Power Institute	 5133	 J Microw Power Electromagn Energy	 8706313
 1678-4782	 0021-7557	 Jornal de pediatria	 5134	 J Pediatr (Rio J)	 2985188R
 1464-5246	 0265-2048	 Journal of microencapsulation	 5135	 J Microencapsul	 8500513
	 0022-345X	 Journal of pediatric ophthalmology	 5136	 J Pediatr Ophthalmol	 0044350
 1938-2405	 0191-3913	 Journal of pediatric ophthalmology and strabismus	 5137	 J Pediatr Ophthalmol Strabismus	 7901143
 1531-5037	 0022-3468	 Journal of pediatric surgery	 5138	 J Pediatr Surg	 0052631
	 0145-5508	 The Journal of pedodontics	 5139	 J Pedod	 7702327
 1532-656X	 0891-5245	 Journal of pediatric health care : official publication of National Association of Pediatric Nurse Associates & Practitioners	 5140	 J Pediatr Health Care	 8709735
 1619-3997	 0300-5577	 Journal of perinatal medicine	 5141	 J Perinat Med	 0361031
	 8755-0229	 The Journal of medical practice management : MPM	 5142	 J Med Pract Manage	 8605494
 1600-0765	 0022-3484	 Journal of periodontal research	 5143	 J Periodontal Res	 0055107
 1943-3670	 0022-3492	 Journal of periodontology	 5144	 J Periodontol	 8000345
 1467-6494	 0022-3506	 Journal of personality	 5145	 J Pers	 2985194R
 1532-7752	 0022-3891	 Journal of personality assessment	 5146	 J Pers Assess	 1260201
 1939-1315	 0022-3514	 Journal of personality and social psychology	 5147	 J Pers Soc Psychol	 0014171
	 0047-2166	 Journal de pharmacie de Belgique	 5148	 J Pharm Belg	 0375351
 1881-1353	 0386-846X	 Journal of pharmacobio-dynamics	 5149	 J Pharmacobiodyn	 7901854
 1600-079X	 0742-3098	 Journal of pineal research	 5150	 J Pineal Res	 8504412
 1540-8566	 0163-9366	 Journal of nutrition for the elderly	 5151	 J Nutr Elder	 8208739
	 0748-5328	 Journal of nephrology nursing	 5152	 J Nephrol Nurs	 8502669
 2042-7158	 0022-3573	 The Journal of pharmacy and pharmacology	 5153	 J Pharm Pharmacol	 0376363
 1532-8449	 0882-5963	 Journal of pediatric nursing	 5154	 J Pediatr Nurs	 8607529
	 0191-3751	 The Journal of the New York State School Nurse Teachers Association	 5155	 J N Y State Sch Nurse Teach Assoc (1977)	 7901144
 1520-6017	 0022-3549	 Journal of pharmaceutical sciences	 5156	 J Pharm Sci	 2985195R
 1876-4738	 0914-5087	 Journal of cardiology	 5157	 J Cardiol	 8804703
 1530-8022	 0885-3282	 Journal of biomaterials applications	 5158	 J Biomater Appl	 8813912
	 0743-2550	 Journal of Christian nursing : a quarterly publication of Nurses Christian Fellowship	 5159	 J Christ Nurs	 8411743
	 0258-4638	 The Jordan dental journal	 5160	 Jordan Dent J	 8411106
	 0953-1211	 The Journal of the Institute of Hospital Engineering	 5161	 J Inst Hosp Eng	 8807313
	 0894-9255	 Journal of acquired immune deficiency syndromes	 5162	 J Acquir Immune Defic Syndr (1988)	 8812597
	 0898-2740	 Journal of healthcare education and training : the journal of the American Society for Healthcare Education and Training	 5163	 J Healthc Educ Train	 8610643
	 0897-9685	 Journal of child and adolescent psychiatric and mental health nursing	 5164	 J Child Adolesc Psychiatr Ment Health Nurs	 8812165
 1347-5231	 0031-6903	 Yakugaku zasshi : Journal of the Pharmaceutical Society of Japan	 5165	 Yakugaku Zasshi	 0413613
	 1046-3607	 Journal of the American Mosquito Control Association. Supplement	 5166	 J Am Mosq Control Assoc Suppl	 8904843
	 0883-7597	 Journal of pharmaceutical marketing & management	 5167	 J Pharm Mark Manage	 8709879
	 0898-2732	 Journal of rehabilitation research and development. Clinical supplement	 5168	 J Rehabil Res Dev Clin Suppl	 8604381
	 0095-8522	 Journal of colloid science	 5169	 J Colloid Sci	 17840210R
 1521-4028	 0233-111X	 Journal of basic microbiology	 5170	 J Basic Microbiol	 8503885
 2162-6537	 0731-8898	 Journal of environmental pathology, toxicology and oncology : official organ of the International Society for Environmental Toxicology and Cancer	 5171	 J Environ Pathol Toxicol Oncol	 8501420
	 0090-466X	 Journal of pharmacokinetics and biopharmaceutics	 5172	 J Pharmacokinet Biopharm	 0357115
 1521-0103	 0022-3565	 The Journal of pharmacology and experimental therapeutics	 5173	 J Pharmacol Exp Ther	 0376362
 1930-8264	 8750-7315	 Journal of the American Podiatric Medical Association	 5174	 J Am Podiatr Med Assoc	 8501423
 1873-4502	 0886-3350	 Journal of cataract and refractive surgery	 5175	 J Cataract Refract Surg	 8604171
	 0750-1838	 Journal de parodontologie	 5176	 J Parodontol	 8506963
	 1523-5238	 The journal of the Philadelphia County Dental Society	 5177	 J Phila Cty Dent Soc	 9880286
	 0031-7497	 The Journal of the Philippine Dental Association	 5178	 J Philipp Dent Assoc	 7505626
 1550-5073	 0893-2190	 The Journal of perinatal & neonatal nursing	 5179	 J Perinat Neonatal Nurs	 8801387
	 0748-1802	 Journal of the Association of Pediatric Oncology Nurses	 5180	 J Assoc Pediatr Oncol Nurses	 8410048
	 8756-6206	 Journal of pediatric & perinatal nutrition	 5181	 J Pediatr Perinat Nutr	 8712414
	 0748-4623	 Journal of professional services marketing	 5182	 J Prof Serv Mark	 9881815
	 0031-7535	 Journal of the Philippine Federation of Private Medical Practitioners	 5183	 J Philipp Fed Priv Med Pract	 7503101
		 Journal of the Philippine Medical Association	 5184	 J Philipp Med Assoc	 7503102
	 0022-3654	 The Journal of physical chemistry	 5185	 J Phys Chem	 0406042
	 0022-3735	 Journal of physics E: Scientific instruments	 5186	 J Phys E	 1276760
 1469-7793	 0022-3751	 The Journal of physiology	 5187	 J Physiol	 0266262
	 0021-7948	 Journal de physiologie	 5188	 J Physiol (Paris)	 9309350
 1938-1352	 0748-7711	 Journal of rehabilitation research and development	 5189	 J Rehabil Res Dev	 8410047
	 0742-3241	 Journal of rehabilitation R&D	 5190	 J Rehabil R D	 8307649
 1600-0714	 0904-2512	 Journal of oral pathology & medicine : official publication of the International Association of Oral Pathologists and the American Academy of Oral Pathology	 5191	 J Oral Pathol Med	 8911934
	 0031-9341	 Nihon seirigaku zasshi. Journal of the Physiological Society of Japan	 5192	 Nihon Seirigaku Zasshi	 0417460
	 0273-3285	 The Journal of plastic and reconstructive surgical nursing : official organ of the American Society of Plastic and Reconstructive Surgical Nurses	 5193	 J Plast Reconstr Surg Nurs	 8301364
 1520-6688	 0276-8739	 Journal of policy analysis and management : [the journal of the Association for Public Policy Analysis and Management]	 5194	 J Policy Anal Manage	 8214851
	 0449-296X	 Journal of polymer science. Part A-1, Polymer chemistry	 5195	 J Polym Sci A1	 0050636
	 0449-2986	 Journal of polymer science. Part B: Polymer letters	 5196	 J Polym Sci B	 7610515
	 0883-9433	 Journal of post anesthesia nursing	 5197	 J Post Anesth Nurs	 8609069
